"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-16.6585916808795,-16.6541687697273,-16.9276980824941,41455.7,0.95,-25.3816717554997,-7.55674155067334,NA,NA,NA,NA,NA,NA,NA
"beta1",0.38260714646764,0.382499528247768,0.386797084108648,41380,0.95,0.255690618033199,0.503997147148015,NA,NA,NA,NA,NA,NA,NA
"sigma",0.433297774327602,0.426066787386149,0.411338327036344,29781.9,0.95,0.311938844901858,0.570890961071539,NA,NA,NA,NA,NA,NA,NA
"nu",38.9206475452423,30.0359811571828,14.6646252409508,10467.6,0.95,1.97548127230402,102.246130366084,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.45663192170106,1.47764182316806,1.55657361027685,15363.1,0.95,0.742935445572998,2.11148151595684,NA,NA,NA,NA,NA,NA,NA
